text,label
എ നാളെ കാലത് 8 45 നു അവസാനിക്കും,Non_hope_speech
ഹാങ്ങോ അപ്ലിക്കേഷൻ  നു പകരം പോകൂ അപ്ലിക്കേഷൻ  ഉണ്ട്,Non_hope_speech
സുഹൈൽ പ സബാഷ് മേരാ പങ്കിടുക  യുടെ ടിആലോജി ഓൺ കണ്ടടം വഴി ഓടി കാണും സങ്ങളാൽ,Non_hope_speech
ലെസ്ബിയൻ  സ്വവർഗ്ഗാനുരാഗി  ബൈസെക്ഷ്വൽ  ഒപ്പം  ട്രാൻസ്‍ജിൻഡർ എന്നും കേട്ടിട്ടുണ്ട് ഖ് എന്താണെന്നറിയൂ,Non_hope_speech
ഞാനും ഹലോ  ആപ്പിന്റെ കട്ട ഫാൻ  ആയിരുന്നു,Non_hope_speech
പൊട്ടൻ കോട്ട്  ഇട്ട കെവിൻ  ബ ബാബ ബ ആയി നല്ല വിഷയം,Non_hope_speech
മോശം  ബ്‌ളാസ്സ്‌ മീഡിയ  താനൊക്കെ ഇങ്ങനെ മതം കാലിന്റെ ഇടയിൽ തിരുകി ഇരിക്കുന്നത് കാണുബോൾ സഹതാപം ആണ് പുറത്ത് ഇറങ്ങി ലോകം കാണുക ലോകത്തിലെ വൈവിധ്യങ്ങളെ അറിഞ്ഞിട്ട് ലോകത്തിന്റെ ക്രമത്തിനെ പറ്റി സംസാരിക്കുക,Non_hope_speech
നോ പ്രശ്നം  നിങ്ങളും ജീവിക്കണം ഈ സമൂഹത്തിൽ ആണും പെണ്ണും കൂടി ജീവിച്ചിട്ട് ജനിക്കുന്ന കൊച്ചിനെ കല്ലിൽ അടിച്ചും ഞെക്കി കൊന്നും വെള്ളത്തിൽ മുക്കിയും കൊള്ളുന്നു ഇതിപ്പോ അങ്ങനെ ഒന്നും പേടിക്കണ്ട ഈ നികിഷ്ട സമൂഹത്തിൽ നിങ്ങൾ നല്ല പോൾ  ജീവിച്ചാൽ മതി എന്നും നന്മകൾ,Hope_speech
ശരണ്യ ഭാസ്കർ നാട്ടിൽ പോയിട്ട് ഇപ്പൊ കുറെ ആയോ എവിടെ കൊറോണ ഒക്കെ സാധാരണ  ആയി ലോക്ക് ചെയ്യുക  താഴേക്ക്  ഒകെ കഴിഞ്ഞു,Non_hope_speech
ഇന്ത്യൻ യോദ്ധാക്കൾക്ക് എല്ലാവിധ പിന്തുണയും പ്രാർത്ഥനയും ഒപ്പം  ഞങ്ങളുടെ ചങ്കുകളുടെ ജീവനെടുത്ത ചൈനീസ് ചതിയന്മാരെ നിങ്ങൾ ഓർത്തോ കളിച്ചത് ഇന്ത്യയോടാണ്,Non_hope_speech
മി കൂടി  പക്ഷേ  ഇനി ഞാൻ പൈസ കൊടുക്കില്ല,Non_hope_speech
എന്തേലുമൊക്കെ കാണിക്ക് എനിക്കൊന്നും മനസിലാകുന്നില്ല പുല്ല് ഒരു കുട്ടിയെ വളർത്താം ഓക്കേ ആണ്‌ ആ കുട്ടി പ്രായമായി കഴിയുമ്പോൾ ഇവർ ഗേ ആണെന്ന് അറിഞ്ഞാൽ ഉണ്ടാകുന്ന പ്രശ്നം എന്തായിരിക്കുമെന്ന് ചിന്തിക്കേണ്ടി ഇരിക്കുന്നു,Non_hope_speech
